Company ID,Contact Name,Role,Connection Strength,Previous HKJC Interaction,Link of HKJC Interaction evidance,Linkedin
101,Edward Bell,"General Manager Brand, Insights, and Marketing",Hot,"Company sponsored Longines Masters of HK, an equestrian event where HKJC was also a founding partner.",https://www.longinesmasters.com/en/news/longines-masters-of-hong-kong-returns-for-its-fifth-edition-2017-02-10-863,https://www.linkedin.com/in/ecbell30
101,Ronald Lam,Chief Executive Officer,Hot,"As CEO, oversees major corporate partnerships. Company was a founding partner alongside HKJC for Longines Masters of HK.",https://www.longinesmasters.com/en/news/longines-masters-of-hong-kong-returns-for-its-fifth-edition-2017-02-10-863,https://www.linkedin.com/in/ronald-lam-180b06109
101,Lavinia Lau,Chief Customer and Commercial Officer,Hot,Her role encompasses brand partnerships. Company was a founding partner alongside HKJC for Longines Masters of HK.,https://www.longinesmasters.com/en/news/longines-masters-of-hong-kong-returns-for-its-fifth-edition-2017-02-10-863,https://www.linkedin.com/in/lavinia-lau-38b42217
102,Amy Lo,"Co-Head of Wealth and Personal Banking, Asia Pacific and Head of Wealth and Personal Banking, Hong Kong",Hot,Presented HSBC Premier Cup and gave a public statement on HSBC's long-standing partnership with HKJC.,https://campaigns.hkjc.com/racing-news/english/2023-01/news-20230101-7.aspx,https://hk.linkedin.com/in/amy-lo-281b3127
102,Edward Hui,"Head of Brand and Marketing, Hong Kong",Hot,"Oversees HSBC's long-standing sponsorships with HKJC, including events like the HSBC Premier Cup.",https://campaigns.hkjc.com/racing-news/english/2023-01/news-20230101-7.aspx,https://hk.linkedin.com/in/edwardhui-marketing
102,Michelle Lee,"Head of Communications and Corporate Sustainability, Hong Kong",Warm,"Manages communications for HSBC, which includes public relations for bank's sponsorship activities.",Nil,https://hk.linkedin.com/in/michelle-lee-b1a13310
103,Florence Chan,"Chief Marketing Officer, AIA Hong Kong & Macau",Hot,"Oversees AIA's title sponsorship of HKJC Champions Day, a major annual racing event.",https://racing.hkjc.com/racing/information/english/feature_articles/2023/feature_article_2023042401.aspx,https://hk.linkedin.com/in/florence-chan-62b1b312
103,Alger Fung,"Chief Executive Officer, AIA Hong Kong & Macau",Hot,Provided comments and insights on AIA's title sponsorship of HKJC Champions Day as CEO.,https://racing.hkjc.com/racing/information/english/feature_articles/2023/feature_article_2023042401.aspx,https://hk.linkedin.com/in/fungalger
103,Stuart Spencer,"Group Chief Marketing Officer, AIA Group",Warm,"Leads group-wide brand strategy and major sponsorships, including AIA's significant partnership with HKJC.",https://racing.hkjc.com/racing/information/english/feature_articles/2023/feature_article_2023042401.aspx,https://sg.linkedin.com/in/stuart-spencer-89945a16
104,Alex Arena,Deputy Chairman and Group Managing Director,Warm,PCCW's HKT business sponsors major HK sports events where HKJC also plays a key role.,https://www.hkt.com/About-HKT/News/Press-Release/2018/20180213_2.html,https://www.linkedin.com/in/alexarena
104,Bric Ng,"Chief Executive Officer, HKT",Warm,PCCW's HKT business sponsors major HK sports events where HKJC also plays a key role.,https://www.hkt.com/About-HKT/News/Press-Release/2018/20180213_2.html,https://www.linkedin.com/in/siu-chong-ng-a006351b0
104,Susanna Hui Hon-hing,Group Chief Financial Officer and Executive Director,Warm,"As PCCW's Group CFO, she approves major company sponsorships & strategic engagements, including potential ties with HKJC.",https://www.hkt.com/About-HKT/News/Press-Release/2018/20180213_2.html,https://www.linkedin.com/in/susanna-hui-hon-hing-35712140
105,Kent Wong Siu-Kee,Managing Director,Warm,Company partnered with HKJC for community & youth development programs.,https://www.polyu.edu.hk/en/media/media-releases/2021/0409_polyu-collaborates-with-the-hong-kong-jockey-club-and-chow-tai-fook/,https://www.linkedin.com/in/kent-wong-siu-kee-9473b642/
105,Olivia Tam Sau-Ling,"General Manager, Marketing",Warm,Company partnered with HKJC for community & youth development programs.,https://www.polyu.edu.hk/en/media/media-releases/2021/0409_polyu-collaborates-with-the-hong-kong-jockey-club-and-chow-tai-fook/,https://hk.linkedin.com/in/olivia-tam-5477617b
105,Alice Lau,"Director, Corporate Communications",Warm,Company partnered with HKJC for community & youth development programs.,https://www.polyu.edu.hk/en/media/media-releases/2021/0409_polyu-collaborates-with-the-hong-kong-jockey-club-and-chow-tai-fook/,https://hk.linkedin.com/in/alice-lau-97594917a
106,Diana Cesar,Executive Director and Chief Executive,Hot,Yes - Directly involved in announcing the Hang Seng Bank Community Project Powered by the HKJC partnership.,https://corporate.hkjc.com/corporate/english/charities/charities-detail.aspx?in_file=20210408_143000_154941.xml,https://www.linkedin.com/in/dianacesar
106,Catherine Cheng,Head of Marketing and Corporate Communications,Hot,Hang Seng Bank is a long-standing sponsor of HKJC horse races and community projects; she oversees these.,https://racing.hkjc.com/racing/information/english/Race/Results.aspx?RaceDate=2023/12/24&Raceno=03,https://www.linkedin.com/in/catherine-cheng-4029279
106,Terence Li,"Head of Customer, Marketing and Digital, Wealth and Personal Banking",Hot,Hang Seng Bank is a long-standing sponsor of HKJC horse races and community projects; he oversees these.,https://racing.hkjc.com/racing/information/english/Race/Results.aspx?RaceDate=2023/12/24&Raceno=03,https://www.linkedin.com/in/terence-li-29b79410
107,Mary Huen,"CEO, Hong Kong",Hot,"Standard Chartered sponsors HKJC racing events & community initiatives. As CEO, she oversees these sponsorships.",https://www.sc.com/hk/en/news/press-release/2023/standard-chartered-champions-chater-cup-showcases-finest-stayers-this-sunday/,https://www.linkedin.com/in/mary-huen-9a36662/
107,Stephen Man,"Head of Brand & Marketing, Hong Kong",Hot,Standard Chartered sponsors Champions & Chater Cup and HKJC community events; Stephen Man manages these initiatives.,https://www.sc.com/hk/en/news/press-release/2023/standard-chartered-champions-chater-cup-showcases-finest-stayers-this-sunday/,https://www.linkedin.com/in/stephen-man-a45a301/
107,Simon Lam,"Head of Corporate Affairs, Brand & Marketing, Hong Kong",Hot,"Presented a trophy at the Standard Chartered Champions & Chater Cup in 2021, directly representing Standard Chartered Bank.",https://corporate.hkjc.com/corporate/english/news-centre/news/news-2021052303254.aspx,https://www.linkedin.com/in/simon-lam-20287a20/
108,Huynh Thanh Phong,"Group Chief Executive Officer, FWD Group",Hot,"FWD is title sponsor of FWD Champions Day, a major HKJC horse racing event held annually at Sha Tin.",https://racing.hkjc.com/racing/info/meeting/Champions_Day/English/champions_day.aspx,https://www.linkedin.com/in/phonghuynh/
108,Ken Lau,"Managing Director, Greater China, FWD Group & CEO, FWD Hong Kong & Macau",Hot,"As FWD HK & Macau CEO, he directly participates in FWD Champions Day, a major horse racing event sponsored by FWD.",https://corporate.hkjc.com/corporate/english/news-centre/news.aspx?in_file=2024042801700.xml,https://www.linkedin.com/in/ken-lau-47a32b13/
108,Paul Tse,"Chief Marketing Officer, FWD Hong Kong & Macau",Hot,"As CMO, FWD HK & Macau, he oversees FWD Champions Day sponsorship with HKJC.",https://www.fwd.com.hk/en/newsroom/media-release/2024/fwd-champions-day-2024-media-tour-gives-media-exclusive-insights-into-racing-culture-and-community-engagement/,https://www.linkedin.com/in/paultse/
109,Christina Ma,Group Head of Investor Relations and Head of Corporate Communications,Warm,No direct specific interaction found publicly for sponsorship purposes.,Nil,https://www.linkedin.com/in/christinama/
109,Bonnie Chan,Co-Chief Operating Officer,Warm,No direct specific interaction found publicly for sponsorship purposes.,Nil,https://www.linkedin.com/in/bonnie-chan-3306a410/
109,Glenda So,"Co-Chief Operating Officer, Head of Emerging Business Development",Warm,No direct specific interaction found publicly for sponsorship purposes.,Nil,https://www.linkedin.com/in/glenda-so-b27b4010/
110,Ann Kung,Deputy Chief Executive,Hot,Yes - Signed renewal of principal partnership with HKJC Disaster Preparedness and Response Institute.,https://corporate.hkjc.com/corporate/english/community/charities-trust/press-release-detail.aspx?in_file=2015-10/news_2015102101704.html,https://www.linkedin.com/in/ann-kung-%E9%BE%94%E6%A5%8A%E6%81%A9%E6%85%88-124b17179/
110,Sun Yu,Vice Chairman and Chief Executive,Hot,Yes - Officiated signing of strategic partnership with HKJC for financial innovation and sports development.,https://corporate.hkjc.com/corporate/english/news-centre/news/2023-11/news_2023112002047.aspx,https://hk.linkedin.com/in/sun-yu-960205167
110,Wang Xiquan,Deputy Chief Executive,Hot,Yes - Attended and presented prizes at the BOCHK Race Day at Sha Tin Racecourse.,https://corporate.hkjc.com/corporate/english/news-centre/news/2018-05/news_2018051901306.aspx,https://hk.linkedin.com/in/xiquan-wang-95b86b240
111,Ben Keswick,Executive Chairman,Warm,No verifiable personal interaction found.,Nil,https://www.linkedin.com/in/ben-keswick-035b0b14b
111,John Witt,Group Managing Director,Warm,No verifiable personal interaction found.,Nil,https://www.linkedin.com/in/john-witt-80b6a713b/
111,Christian Sardelis,Group Corporate Affairs Director,Warm,No verifiable personal interaction found.,Nil,https://hk.linkedin.com/in/christian-sardelis-17b587a
112,Raymond Kwok Ping-luen,Chairman and Managing Director,Hot,Serves as a Steward of The Hong Kong Jockey Club.,https://corporate.hkjc.com/corporate/english/about-us/board-of-stewards.aspx,Nil
112,Adam Kwok Kai-fai,Executive Director,Hot,Serves as a Steward of The Hong Kong Jockey Club.,https://corporate.hkjc.com/corporate/english/about-us/board-of-stewards.aspx,https://hk.linkedin.com/in/adam-kwok-54876b5
112,Christopher Kwok Kai-wang,Executive Director,Hot,Elected as a Voting Member of The Hong Kong Jockey Club in 2021.,https://corporate.hkjc.com/corporate/english/press-centre/press-releases-detail.aspx?in_file=2021-00277.xml,https://hk.linkedin.com/in/christopher-kwok-a64287103
113,Patrick Healy,Chairman,Hot,Appointed as a Steward of The Hong Kong Jockey Club in September 2023.,https://www.scmp.com/business/companies/article/3233857/swire-properties-chairman-joins-hong-kong-jockey-club-board-stewards,https://www.linkedin.com/in/patrick-healy-153b6814/
113,Guy Bradley,"Executive Director, Swire Pacific; Chairman, Swire Properties",Hot,Appointed as a Steward of The Hong Kong Jockey Club in September 2023.,https://www.scmp.com/business/companies/article/3233857/swire-properties-chairman-joins-hong-kong-jockey-club-board-stewards,https://www.linkedin.com/in/guy-bradley-640b852a/
113,Merlin Swire,Executive Director,Hot,Appointed as a Steward of The Hong Kong Jockey Club in September 2023.,https://www.asianracing.org/news/the-hong-kong-jockey-club-appoints-merlin-swire-to-board-of-stewards,https://www.linkedin.com/in/merlin-swire-23a48616/
114,Liang Youde,Chairman and President of China Unicom Global Limited,Cold,Nil,Nil,https://www.linkedin.com/in/liang-youde-0043831b1/
114,Li Yong,President,Cold,Nil,Nil,Nil
114,Tang Ke,"Senior Vice President, Executive Director",Cold,Nil,Nil,https://www.linkedin.com/in/ke-tang-33b680183/
115,Victor Li Tzar-kuoi,Chairman and Co-Managing Director,Hot,"Yes - Appointed as a Steward of The Hong Kong Jockey Club in 2018, demonstrating deep engagement with the club.",https://corporate.hkjc.com/corporate/english/press-centre/press-releases-detail.aspx?in_fileid=95790,Nil
115,Dominic Lai Kai-ming,Group Managing Director,Hot,"Yes - A horse owner (""Super Jockey"") with the HKJC, actively participating in racing events for years.",https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2010_S104,https://hk.linkedin.com/in/dominic-lai-53090a2a
115,Canning Fok Kin-ning,Group Co-Managing Director,Hot,"Yes - A horse owner (""Beauty Flame"") with the HKJC, actively participating in racing events.",https://racing.hkjc.com/racing/information/english/Horse/Horse.aspx?HorseId=HK_2012_E377,Nil
116,Linda So,Corporate Affairs Director,Warm,"Oversees MTR's community relations and partnerships, aligning with HKJC's charitable and community support.",Nil,https://hk.linkedin.com/in/linda-so-527b102b
116,Dr. Jacob Kam Chak-pui,Chief Executive Officer,Warm,"As CEO, frequently engages with leaders of other major Hong Kong institutions and community partners, including HKJC.",Nil,Nil
116,David Tang,Chief of Staff and Head of Corporate Relations,Warm,"Responsible for managing MTR’s external stakeholder relationships, including other major community organizations like HKJC.",Nil,https://hk.linkedin.com/in/david-tang-70498b1b
117,Joseph Galli Jr.,Chief Executive Officer and Executive Director,Cold,Nil,Nil,https://www.linkedin.com/in/joseph-galli-a309325
117,Steven Richman,Chief Operating Officer and Executive Director,Cold,Nil,Nil,https://www.linkedin.com/in/steven-richman-958b438/
117,Frank Chi Chung Chan,"Chief Financial Officer, Executive Director and Secretary",Cold,Nil,Nil,https://www.linkedin.com/in/frank-chan-a059341/
118,Li Xin,"Chairman, Executive Director",Cold,No personal interaction found related to sponsorships or events.,Nil,Nil
